date,open,high,low,close,volume_eth,volume_usd
2020-03-09,501.350006,538.340027,500.5,527.159973,1161500,1161500
2020-03-10,542.27002,546.460022,515.419983,546.02002,943100,943100
2020-03-11,533,534.650024,507.549988,520.140015,1042600,1042600
2020-03-12,486.670013,509.359985,471.01001,482.640015,1089700,1089700
2020-03-13,502.570007,505.459991,462.869995,499.329987,1424600,1424600
2020-03-16,449,450.660004,405.440002,406.070007,1578900,1578900
2020-03-17,415.100006,434.190002,377.700012,420.380005,1981200,1981200
2020-03-18,388.790009,410.190002,325.429993,402.859985,1712700,1712700
2020-03-19,398.839996,448.959991,388.100006,445.119995,1027200,1027200
2020-03-20,453.220001,457.029999,405.980011,412.700012,1262800,1262800
2020-03-23,410.820007,422.809998,390.769989,396.700012,958900,958900
2020-03-24,418.559998,460.410004,416.450012,454.019989,1245100,1245100
2020-03-25,452.269989,474.829987,447.25,451.660004,922300,922300
2020-03-26,465.029999,473.269989,454,466.140015,854300,854300
2020-03-27,451,471.48999,450,459.660004,663500,663500
2020-03-30,471.649994,486.480011,462.890015,481.829987,753200,753200
2020-03-31,476.48999,481.75,457.549988,459.519989,1280200,1280200
2020-04-01,439.910004,444.519989,421.399994,424.980011,1143500,1143500
2020-04-02,420.200012,439.970001,412.01001,436.910004,1085900,1085900
2020-04-03,435,442.589996,416.23999,420.029999,683800,683800
2020-04-06,442.790009,462.980011,438.109985,458.619995,731100,731100
2020-04-07,475.359985,484.970001,462.029999,463.350006,811900,811900
2020-04-08,470.25,491.970001,462.049988,488.309998,590300,590300
2020-04-09,498.25,518.169983,487.649994,492.149994,1064700,1064700
2020-04-13,482.309998,492.410004,472.880005,489.200012,857300,857300
2020-04-14,500,510.649994,490.01001,504.390015,754400,754400
2020-04-15,490.76001,499.980011,485.839996,492.679993,623300,623300
2020-04-16,499.690002,501.98999,476.100006,485.029999,742000,742000
2020-04-17,497.540009,518.059998,497.540009,516.75,608100,608100
2020-04-20,506.820007,514.909973,492.929993,495.869995,582400,582400
2020-04-21,488.390015,492.890015,479.619995,484.899994,328200,328200
2020-04-22,494.670013,505.359985,494.670013,500.290009,372400,372400
2020-04-23,500.440002,508.670013,497.630005,498.700012,305100,305100
2020-04-24,501.589996,506.73999,494.589996,506.059998,269100,269100
2020-04-27,503.959991,514.840027,497.290009,511.459991,467000,467000
2020-04-28,519,519.880005,505.059998,508.730011,521500,521500
2020-04-29,536,559.630005,523.97998,538.859985,962200,962200
2020-04-30,527.869995,543.619995,523.630005,536.369995,686400,686400
2020-05-01,525.640015,529.75,520.070007,526.440002,413700,413700
2020-05-04,524.210022,529.869995,516.960022,528.840027,394800,394800
2020-05-05,533.960022,539.73999,529.530029,532.690002,373900,373900
2020-05-06,535,536.599976,523.440002,524.02002,341900,341900
2020-05-07,529.76001,533.299988,526.210022,528.559998,390900,390900
2020-05-08,539.059998,553.580017,534.700012,549.679993,492400,492400
2020-05-11,543.210022,563.77002,542.799988,558.840027,798600,798600
2020-05-12,557.090027,563.76001,553.460022,553.460022,622600,622600
2020-05-13,550.440002,554.700012,539.700012,548.320007,488900,488900
2020-05-14,540.320007,545.619995,528.190002,545.549988,543700,543700
2020-05-15,540.48999,568.380005,539.299988,568.380005,886300,886300
2020-05-18,580,586.119995,571.900024,572.25,618900,618900
2020-05-19,570.900024,575.650024,562.51001,563.73999,555000,555000
2020-05-20,570.799988,575.609985,564.309998,564.630005,630000,630000
