date,open,high,low,close,volume_eth,volume_usd
2020-03-09,150.149994,154.160004,148,151,1221600,1221600
2020-03-10,152.970001,154.949997,148,154.550003,1900300,1900300
2020-03-11,150.130005,151.820007,146.820007,148.770004,1076700,1076700
2020-03-12,137.990005,142.690002,132.839996,132.869995,2478500,2478500
2020-03-13,140.089996,140.110001,131.389999,139.839996,1905000,1905000
2020-03-16,128.460007,136.580002,115.209999,125.93,1974600,1974600
2020-03-17,128.440002,144.589996,127.809998,139.100006,2678800,2678800
2020-03-18,132.210007,136.960007,111.580002,116.110001,3028600,3028600
2020-03-19,116.07,127.75,115.010002,121.790001,1806400,1806400
2020-03-20,120.139999,126.290001,116.580002,117.730003,1763100,1763100
2020-03-23,117.75,122.459999,109.879997,111.43,1917300,1917300
2020-03-24,114.650002,123.209999,114.220001,121.919998,1522800,1522800
2020-03-25,123.480003,130.789993,121.370003,126.139999,2003600,2003600
2020-03-26,126.120003,133.080002,126.120003,132.449997,1440400,1440400
2020-03-27,129.039993,135.509995,128.809998,130.839996,1521400,1521400
2020-03-30,133.289993,138.619995,133.289993,137.779999,1348200,1348200
2020-03-31,136.850006,138.050003,132.059998,132.5,2162800,2162800
2020-04-01,128.389999,133.649994,127.75,131.660004,1412300,1412300
2020-04-02,129.820007,136.490005,129.789993,135.729996,2134800,2134800
2020-04-03,134.880005,140.470001,134.880005,139.770004,1468800,1468800
2020-04-06,143.550003,144,138.059998,141.860001,1294800,1294800
2020-04-07,142.149994,144.619995,140.029999,141.110001,1368000,1368000
2020-04-08,141.619995,144.039993,140.539993,142.710007,779600,779600
2020-04-09,142.770004,147.350006,142.729996,143.910004,952300,952300
2020-04-13,143.199997,144.419998,141.130005,142.649994,1683900,1683900
2020-04-14,143.850006,147.460007,141.759995,146.130005,1152100,1152100
2020-04-15,146.119995,146.75,141.779999,142.600006,1715600,1715600
2020-04-16,144.020004,146.669998,142.669998,145.449997,1443100,1443100
2020-04-17,147.399994,147.770004,143.960007,146.460007,1164300,1164300
2020-04-20,143.25,147.300003,143.059998,144.580002,1048700,1048700
2020-04-21,146.240005,146.240005,140.75,141.619995,1235900,1235900
2020-04-22,142.589996,145.479996,142.5,143.279999,1293700,1293700
2020-04-23,140,142.009995,135.869995,136.910004,2165200,2165200
2020-04-24,136.029999,136.600006,133.389999,135.740005,1416000,1416000
2020-04-27,136.550003,137.679993,135.100006,135.110001,1318600,1318600
2020-04-28,135.110001,136.119995,133.809998,134.25,1167200,1167200
2020-04-29,134.570007,134.910004,132.080002,134.410004,1909900,1909900
2020-04-30,134.600006,134.889999,132,132.429993,1216100,1216100
2020-05-01,131.440002,133.75,130.369995,132.539993,1153400,1153400
2020-05-04,131.889999,132,129.910004,131.25,1109500,1109500
2020-05-05,131.589996,132.899994,129.759995,131.360001,1135600,1135600
2020-05-06,132.039993,132.979996,131.229996,131.729996,858200,858200
2020-05-07,133.119995,133.309998,130.389999,130.529999,979200,979200
2020-05-08,132.25,133.759995,131.809998,133.190002,831300,831300
2020-05-11,133.130005,135.190002,132.919998,132.949997,1087200,1087200
2020-05-12,133.860001,134.690002,132.410004,132.470001,663400,663400
2020-05-13,132.369995,133.630005,130.770004,131.869995,803300,803300
2020-05-14,131.830002,132.619995,129.490005,131.029999,1151100,1151100
2020-05-15,130.899994,133.470001,130.050003,130.380005,2602800,2602800
2020-05-18,131.910004,132.850006,128.809998,132.270004,1789400,1789400
2020-05-19,131.509995,132.25,129.520004,130.910004,1170600,1170600
2020-05-20,131.820007,132.330002,130.720001,131.220001,1137600,1137600
2020-05-21,130.199997,130.460007,127.150002,128.029999,2597300,2597300
2020-05-22,128.460007,130.559998,127.599998,130.259995,900000,900000
2020-05-26,131.75,131.869995,127.830002,128.270004,1719600,1719600
2020-05-27,128.339996,133.259995,127.040001,133.050003,1443900,1443900
2020-05-28,134.899994,136.179993,133.580002,135.979996,1372700,1372700
2020-05-29,135.559998,136.940002,133.860001,135.679993,2912000,2912000
2020-06-01,135.869995,137.399994,134.820007,136.429993,746100,746100
2020-06-02,136.210007,137.199997,135.259995,137.179993,2057600,2057600
2020-06-03,137.619995,137.949997,134.179993,134.220001,981000,981000
2020-06-04,133.820007,135.070007,132.470001,133.429993,1133400,1133400
2020-06-05,134.050003,136.279999,133.289993,135.440002,1304500,1304500
2020-06-08,134.660004,135.75,133.389999,135.669998,1987700,1987700
2020-06-09,135.399994,135.399994,132.860001,133.339996,1276900,1276900
2020-06-10,134.029999,135.710007,132.779999,135.320007,1352300,1352300
2020-06-11,134.520004,135.309998,129.070007,129.089996,1189700,1189700
2020-06-12,130.729996,131.350006,127.629997,129.110001,1085800,1085800
2020-06-15,127.260002,130.199997,126,130.130005,1183100,1183100
2020-06-16,132.539993,133.179993,130.589996,132.580002,789500,789500
2020-06-17,132.949997,133.460007,131.919998,132.279999,910400,910400
2020-06-18,131.639999,132.970001,131.369995,132.539993,595500,595500
2020-06-19,133.039993,133.649994,129.399994,129.449997,3316100,3316100
2020-06-22,129.520004,131.440002,129.410004,130.559998,993100,993100
2020-06-23,132.190002,132.539993,130.009995,130.25,1072500,1072500
2020-06-24,129.300003,129.940002,126.93,127.980003,969300,969300
2020-06-25,127.550003,128.820007,126.68,128.669998,1112300,1112300
2020-06-26,128.75,129.470001,125.620003,125.849998,1539300,1539300
2020-06-29,126.160004,128.259995,125.5,127.610001,797700,797700
2020-06-30,128.25,130.350006,127.889999,129.619995,2200300,2200300
2020-07-01,129.770004,130.990005,129.490005,130.119995,1292300,1292300
2020-07-02,131.050003,131.679993,129.199997,129.860001,1287400,1287400
2020-07-06,131.520004,131.520004,128.570007,129.449997,986000,986000
2020-07-07,129,129.919998,128.580002,129.25,1097000,1097000
2020-07-08,128.979996,129.5,127.169998,128.520004,1024400,1024400
2020-07-09,128.089996,128.220001,126.059998,126.75,811000,811000
2020-07-10,126.349998,127.989998,125.889999,127.75,661400,661400
2020-07-13,128.369995,128.929993,127.580002,127.879997,1248700,1248700
2020-07-14,127.57,131.949997,127.410004,131.800003,1856600,1856600
2020-07-15,132.869995,133.529999,131.460007,132,1155600,1155600
2020-07-16,132.479996,135.509995,132.149994,134.449997,1614800,1614800
2020-07-17,134.380005,137.160004,133.910004,136.399994,2708300,2708300
2020-07-20,136.240005,136.520004,134.679993,135.509995,1080100,1080100
2020-07-21,135.710007,138.270004,135.669998,137.309998,1162500,1162500
2020-07-22,137.110001,138.470001,136.199997,138.460007,1589500,1589500
2020-07-23,143,146.550003,142.410004,146.330002,2281200,2281200
2020-07-24,147.029999,147.610001,144.960007,145.679993,1162200,1162200
2020-07-27,145.960007,146.729996,144.410004,146.289993,879600,879600
2020-07-28,146,146.830002,145.190002,145.729996,919400,919400
2020-07-29,145.679993,146.649994,145.270004,145.809998,863900,863900
2020-07-30,145.039993,145.679993,144.149994,145.289993,774000,774000
2020-07-31,144.970001,145.470001,143.410004,145.410004,1757100,1757100
2020-08-03,145.330002,146.309998,144.369995,144.940002,1060100,1060100
2020-08-04,144.320007,145.699997,144.139999,144.300003,974000,974000
2020-08-05,144.520004,144.899994,141.960007,142.270004,709500,709500
2020-08-06,141.820007,143.75,141.729996,143.669998,618000,618000
2020-08-07,143.009995,144.320007,142.759995,143.919998,671900,671900
2020-08-10,144.279999,144.75,143.529999,143.919998,561600,561600
2020-08-11,144.399994,144.5,141.889999,142.509995,998400,998400
2020-08-12,142.970001,146.729996,142.5,146.020004,878700,878700
2020-08-13,146.5,146.990005,145.429993,146.570007,734900,734900
2020-08-14,146.470001,146.929993,145.710007,146.070007,514000,514000
2020-08-17,146.330002,148.889999,145.820007,148.330002,863900,863900
2020-08-18,148.190002,150.279999,147.330002,149.589996,1046300,1046300
2020-08-19,148.449997,148.979996,147.630005,147.759995,1220100,1220100
2020-08-20,146.539993,148.889999,146.339996,147.740005,1241200,1241200
2020-08-21,148.029999,148.279999,146.740005,147.429993,707400,707400
2020-08-24,148,149.199997,147.149994,148.839996,436800,436800
2020-08-25,149.699997,149.699997,147.970001,148.669998,503600,503600
2020-08-26,148.380005,149.479996,147.289993,149.149994,1042500,1042500
2020-08-27,149.910004,150.669998,148.570007,148.699997,646500,646500
2020-08-28,148.910004,149.270004,147.190002,149.199997,407000,407000
2020-08-31,148.820007,149.600006,148.460007,148.639999,682400,682400
2020-09-01,148.639999,148.75,146.619995,148.419998,644400,644400
2020-09-02,148.009995,150.610001,148.009995,149.419998,773200,773200
2020-09-03,149.740005,152.179993,146.990005,148.360001,861800,861800
